x1,x2,quadrant
0.4026,0.9496,top-right
0.5384,-0.9098,bottom-right
0.3702,-0.083,bottom-right
-0.3758,-0.3852,bottom-left
-0.7713,-0.863,bottom-left
0.3125,-0.1875,bottom-right
-0.4048,-0.4124,bottom-left
-0.5261,-0.8156,bottom-left
-0.7174,-0.5346,bottom-left
-0.9628,-0.3734,bottom-left
-0.7513,0.6537,top-left
0.443,0.109,top-right
-0.4828,-0.3352,bottom-left
-0.344,0.6136,top-left
0.7973,0.9339,top-right
0.4491,-0.8654,bottom-right
0.0985,0.4978,top-right
-0.9246,0.4504,top-left
0.8561,-0.3784,bottom-right
0.6816,0.6637,top-right
-0.2063,-0.8176,bottom-left
0.093,0.2944,top-right
-0.1177,-0.8752,bottom-left
-0.9928,0.8231,top-left
0.3744,-0.1736,bottom-right
0.4953,-0.9154,bottom-right
-0.9572,0.535,top-left
-0.5996,0.1164,top-left
-0.5715,0.9423,top-left
-0.0238,-0.9819,bottom-left
-0.6893,0.6257,top-left
0.2137,0.5632,top-right
-0.9611,0.3772,top-left
-0.5344,0.5017,top-left
-0.5933,0.5081,top-left
-0.4738,0.7418,top-left
-0.5038,-0.794,bottom-left
-0.8885,-0.4753,bottom-left
0.6173,0.0041,top-right
-0.4443,-0.9696,bottom-left
0.8144,-0.4556,bottom-right
0.4032,0.6885,top-right
0.3201,0.8383,top-right
-0.1738,0.3732,top-left
-0.3248,-0.7494,bottom-left
0.1874,0.0697,top-right
-0.364,0.0998,top-left
-0.6778,0.1401,top-left
-0.5558,-0.648,bottom-left
0.5938,-0.1474,bottom-right
0.0285,0.8001,top-right
-0.9175,0.8214,top-left
-0.8095,0.9315,top-left
0.8932,0.9969,top-right
0.3471,0.469,top-right
-0.6466,-0.8197,bottom-left
0.5092,-0.8947,bottom-right
0.428,-0.1604,bottom-right
0.3325,-0.1497,bottom-right
0.9748,-0.5474,bottom-right
0.1747,0.1455,top-right
0.3338,-0.4579,bottom-right
0.4596,-0.3785,bottom-right
-0.6896,0.8114,top-left
-0.172,-0.1267,bottom-left
-0.6919,-0.616,bottom-left
0.513,0.2598,top-right
0.201,-0.3833,bottom-right
0.2525,-0.8118,bottom-right
0.0678,-0.0221,bottom-right
0.8233,0.0179,top-right
0.6459,0.1227,top-right
-0.1805,0.0629,top-left
-0.1714,-0.6694,bottom-left
-0.8897,0.3645,top-left
-0.9913,0.232,top-left
0.3359,0.0624,top-right
0.2038,-0.7995,bottom-right
0.2409,-0.3397,bottom-right
0.0891,0.1666,top-right
0.42,0.835,top-right
0.1708,0.8594,top-right
0.1804,-0.7243,bottom-right
0.6161,-0.0919,bottom-right
-0.8213,0.0943,top-left
-0.9886,-0.175,bottom-left
0.7261,-0.5287,bottom-right
-0.9069,-0.1645,bottom-left
-0.4542,-0.0995,bottom-left
0.7017,-0.4141,bottom-right
-0.2232,0.6316,top-left
0.0046,-0.7013,bottom-right
0.4268,0.4046,top-right
0.7301,-0.8664,bottom-right
0.4337,-0.6897,bottom-right
0.7025,-0.6433,bottom-right
0.3926,0.7891,top-right
-0.1744,-0.9482,bottom-left
-0.2218,0.6103,top-left
-0.3688,-0.5604,bottom-left
-0.1119,-0.8434,bottom-left
-0.5818,-0.0689,bottom-left
-0.5842,0.5157,top-left
0.613,0.2544,top-right
-0.5666,0.1781,top-left
-0.6831,-0.4987,bottom-left
-0.9526,-0.7882,bottom-left
-0.3674,0.724,top-left
0.1974,0.0327,top-right
0.669,-0.5806,bottom-right
0.0517,0.801,top-right
0.8152,0.6502,top-right
0.9683,-0.6326,bottom-right
0.8069,0.2665,top-right
-0.6514,0.8734,top-left
0.2812,0.8806,top-right
0.5909,0.1693,top-right
0.8643,-0.0525,bottom-right
0.8268,0.4711,top-right
0.6802,-0.4985,bottom-right
-0.3902,-0.2244,bottom-left
-0.3585,0.0085,top-left
-0.6651,-0.1514,bottom-left
-0.6308,-0.5429,bottom-left
-0.4883,0.1768,top-left
0.7875,-0.4647,bottom-right
-0.2334,-0.7776,bottom-left
-0.2948,-0.412,bottom-left
0.3428,0.9136,top-right
0.0859,-0.1166,bottom-right
-0.0207,-0.1703,bottom-left
-0.7144,-0.5666,bottom-left
-0.0004,0.2825,top-left
-0.8251,0.683,top-left
0.4377,-0.173,bottom-right
-0.0217,-0.9833,bottom-left
0.8432,0.8423,top-right
-0.0425,0.5323,top-left
0.656,0.606,top-right
-0.7993,0.9383,top-left
-0.7167,-0.4028,bottom-left
-0.0569,0.4101,top-left
-0.649,0.4582,top-left
-0.5116,-0.1151,bottom-left
-0.2029,0.3219,top-left
0.6451,0.5944,top-right
-0.6132,0.0243,top-left
0.1973,0.9317,top-right
-0.2715,0.1211,top-left
-0.8786,0.0611,top-left
-0.5621,-0.3006,bottom-left
-0.43,-0.2301,bottom-left
-0.7659,-0.5204,bottom-left
0.6299,0.1699,top-right
0.993,-0.766,bottom-right
0.698,0.2275,top-right
-0.5938,0.9543,top-left
0.706,0.7639,top-right
-0.4586,-0.5314,bottom-left
0.8674,0.8884,top-right
-0.8287,0.7251,top-left
0.7578,-0.0806,bottom-right
-0.6187,0.0575,top-left
-0.9283,-0.8212,bottom-left
-0.7952,0.308,top-left
