x1,x2,label
0.7415,-0.9265,outside
-0.8444,-0.909,outside
0.4352,-0.2418,inside
-0.6238,-0.3387,outside
-0.8592,0.8091,outside
0.4036,-0.1888,inside
0.1305,0.7365,outside
-0.9443,0.6904,outside
0.0047,0.282,inside
-0.151,-0.4287,inside
0.9414,0.0727,outside
0.1559,0.0188,inside
-0.7491,0.7217,outside
0.1896,-0.8874,outside
-0.6239,0.167,outside
0.4858,0.1392,inside
-0.0124,-0.6346,outside
0.4719,0.4192,outside
0.3448,0.0608,inside
-0.2075,-0.2346,inside
-0.6142,0.7386,outside
0.431,-0.1123,inside
0.4609,0.6149,outside
0.2635,0.231,inside
-0.4274,-0.6234,outside
-0.7327,-0.6308,outside
-0.2357,-0.994,outside
-0.093,0.5651,inside
-0.5353,0.9186,outside
-0.7288,0.9047,outside
-0.3095,-0.6842,outside
-0.2317,-0.4707,inside
-0.467,-0.6964,outside
-0.9594,-0.6329,outside
0.9952,-0.9795,outside
0.4781,0.6076,outside
0.1623,0.2786,inside
-0.3037,0.4398,inside
-0.3565,-0.0935,inside
0.6485,0.0784,outside
0.2685,0.6559,outside
-0.587,0.8517,outside
-0.1065,0.1572,inside
-0.0312,0.3322,inside
0.5016,0.7067,outside
-0.4307,-0.6167,outside
-0.8707,0.9393,outside
0.2973,-0.8906,outside
-0.1162,0.9634,outside
-0.4312,0.8882,outside
0.902,-0.043,outside
-0.3535,0.6889,outside
0.173,-0.8918,outside
0.3458,0.4265,inside
0.7059,0.5134,outside
0.4638,0.8607,outside
-0.5239,-0.4631,outside
0.2904,0.7034,outside
-0.2385,-0.3825,inside
0.201,-0.0986,inside
0.3733,0.4886,outside
-0.9467,-0.2494,outside
-0.8706,0.399,outside
0.5437,-0.6047,outside
-0.4578,-0.119,inside
0.2541,-0.6291,outside
0.3743,0.3243,inside
0.7975,-0.3148,outside
-0.1428,0.8771,outside
0.1072,0.3509,inside
0.1416,-0.1913,inside
0.7098,0.0119,outside
0.8794,0.5713,outside
0.1614,0.4099,inside
0.9535,-0.7592,outside
-0.1567,0.3338,inside
-0.0898,0.4952,inside
0.5928,0.8097,outside
0.0575,0.0692,inside
0.0195,0.3708,inside
-0.764,0.9724,outside
-0.8662,0.7974,outside
0.3336,-0.9906,outside
0.9449,0.5814,outside
0.4207,0.5075,outside
-0.0143,0.2118,inside
0.3388,-0.6824,outside
0.8801,-0.6846,outside
-0.3186,-0.9229,outside
-0.6437,0.3369,outside
-0.3716,-0.2319,inside
0.9799,-0.1985,outside
0.2094,-0.0841,inside
-0.1624,-0.0727,inside
0.119,-0.4351,inside
0.1878,-0.4667,inside
0.1784,0.948,outside
-0.8645,0.1389,outside
-0.6459,0.6664,outside
-0.26,0.7538,outside
-0.0741,0.1455,inside
0.3191,0.1859,inside
0.3974,0.1371,inside
0.9945,0.6444,outside
0.9328,-0.5598,outside
-0.1841,0.6385,outside
0.5548,-0.7406,outside
-0.1729,-0.579,outside
-0.2685,-0.7056,outside
0.5141,0.4157,outside
0.7531,0.8023,outside
0.1529,0.6724,outside
-0.7095,-0.9326,outside
-0.8215,0.9606,outside
0.4809,-0.1724,inside
0.8026,0.4166,outside
-0.8866,0.4915,outside
-0.4974,0.7902,outside
-0.0529,-0.16,inside
0.0198,0.7242,outside
-0.5805,0.6282,outside
-0.8037,-0.2517,outside
-0.7583,0.053,outside
-0.3782,-0.7835,outside
0.9387,0.4535,outside
0.8924,0.5138,outside
-0.1259,-0.5601,inside
-0.0915,0.1519,inside
0.7002,-0.0674,outside
0.9048,0.1754,outside
-0.2602,0.7602,outside
0.7418,0.7578,outside
-0.6343,0.7176,outside
-0.6473,-0.7536,outside
0.5981,-0.5311,outside
0.125,0.6118,outside
-0.9166,-0.3406,outside
-0.5014,-0.955,outside
0.5856,0.894,outside
-0.8095,-0.9112,outside
-0.4747,-0.2435,inside
0.4131,0.8055,outside
0.6929,0.1575,outside
-0.6012,0.5686,outside
0.0876,-0.1359,inside
-0.0115,0.809,outside
0.3017,0.3343,inside
-0.7323,-0.567,outside
0.9403,0.7853,outside
0.6834,-0.0338,outside
0.993,-0.1559,outside
-0.8331,-0.7004,outside
-0.5567,-0.1854,inside
0.6201,0.9268,outside
-0.4991,-0.197,inside
0.4263,-0.9329,outside
0.6992,-0.9397,outside
0.8247,0.5799,outside
-0.414,0.0923,inside
-0.8611,-0.3572,outside
-0.4938,0.2567,inside
-0.566,-0.8473,outside
-0.0126,0.8365,outside
-0.1713,0.1795,inside
-0.4325,-0.7731,outside
0.045,-0.665,outside
-0.6557,0.2422,outside
0.9904,-0.0448,outside
0.3767,-0.0265,inside
-0.1325,0.0481,inside
-0.0311,0.852,outside
-0.4141,0.6189,outside
0.9972,-0.1571,outside
0.0956,0.5635,inside
-0.6019,0.3429,outside
-0.8391,0.6924,outside
-0.6451,0.3186,outside
-0.3425,-0.0737,inside
0.6138,-0.6794,outside
-0.8399,0.1083,outside
-0.2253,-0.4768,inside
0.8236,0.2681,outside
-0.3968,-0.5587,outside
0.2872,0.5206,inside
0.116,-0.7665,outside
-0.9905,-0.504,outside
-0.1218,-0.9544,outside
0.2893,-0.4877,inside
0.6073,-0.219,outside
0.2221,0.0598,inside
-0.5234,-0.0226,inside
-0.7882,0.0217,outside
0.184,0.8596,outside
-0.6624,0.8311,outside
0.3395,-0.5249,outside
0.7916,0.6459,outside
0.3415,-0.7589,outside
0.0328,0.9978,outside
0.5862,0.2688,outside
0.7443,0.1789,outside
