image,label
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAAAAAA6mKC9AAAANklEQVR4nGNgIAQYIdR/OBNMgrgwDhMSH8wACaAAJiQFYCY2FYQFoE6B2otVC1wJiIHhdMIAAMAyBxZDfe59AAAAAElFTkSuQmCC",circle
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAAAAAA6mKC9AAAAGUlEQVR4nGNgIAQYGRj+o3CZ0FUMHQHCAAD4ogEYaXlHZAAAAABJRU5ErkJggg==",square
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAAAAAA6mKC9AAAAPElEQVR4nHXKWQoAMAgDUcn979ziVmOgfsnkmX3u9AMtFR4Y0S3DABJVIxBgkd0DgyVigYAtfIMAEbp6unfZDg1gXQ+QAAAAAElFTkSuQmCC",triangle
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAAAAAA6mKC9AAAAIklEQVR4nGNgQAOMEOo/nMmEroIMAUaweUh8ssyggcMwAAAN1wMa5o+tvgAAAABJRU5ErkJggg==",cross
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAAAAAA6mKC9AAAAQElEQVR4nGNgQAOMEOo/nAkmQVwYhwmJD2YwIfHBTJAKFMCErACkBIsKwgJQp8Fcgk0LkhJGiBlwERADw3MYAAB7LQka19OKCgAAAABJRU5ErkJggg==",circle
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAAAAAA6mKC9AAAAGElEQVR4nGNgQAOMDP9R+UzoKoaTAAYAAAzgARyqRXlnAAAAAElFTkSuQmCC",square
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAAAAAA6mKC9AAAAPElEQVR4nHXKWQoAMAgDUcn979ziVmOgfsnkmX3u9AMtFR4Y0S3DABJVIxBgkd0DgyVigYAtfIMAEbp6unfZDg1gXQ+QAAAAAElFTkSuQmCC",triangle
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAAAAAA6mKC9AAAAJElEQVR4nGNgIAQYIdR/OIsJXQVhAUawfiQuUVoothZDgDAAAAqZAxa0BxGCAAAAAElFTkSuQmCC",cross
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAAAAAA6mKC9AAAAN0lEQVR4nGNgIBkwQqj/cCYTnA8hIAIQJoQCCUD5EAZECxIgTgBqNYQBVgEVAVMQLWAmXCGpAAAOYAcUmyKSoAAAAABJRU5ErkJggg==",circle
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAAAAAA6mKC9AAAAGklEQVR4nGNgIBkwMjAw/EfmMaGrGCwCZAAA5HMBFF1cgh4AAAAASUVORK5CYII=",square
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAAAAAA6mKC9AAAAM0lEQVR4nGNgIBv8hzGY0EWgAnAFCBUwMYgAQgGSCqgoWABJAbIKiDhIAFkBigpUGeIBAFWbCgnFoaAvAAAAAElFTkSuQmCC",triangle
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAAAAAA6mKC9AAAAJElEQVR4nGNgIBkwQqj/cBYTugoMAZDC/8g84rSQaAuGABkAAPZbAxLHJXE4AAAAAElFTkSuQmCC",cross
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAAAAAA6mKC9AAAANklEQVR4nGNgIAQYIdR/OBNMgrgwDhMSH8wACaAAJiQFYCY2FYQFoE6B2otVC1wJiIHhdMIAAMAyBxZDfe59AAAAAElFTkSuQmCC",circle
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAAAAAA6mKC9AAAAGklEQVR4nGNgIBkwMjAw/EfmMaGrGCwCZAAA5HMBFF1cgh4AAAAASUVORK5CYII=",square
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAAAAAA6mKC9AAAAM0lEQVR4nGNgIBv8hzGY0EWgAnAFCBUwMYgAQgGSCqgoWABJAbIKiDhIAFkBigpUGeIBAFWbCgnFoaAvAAAAAElFTkSuQmCC",triangle
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAAAAAA6mKC9AAAAJElEQVR4nGNgIBkwQqj/cBYTugoMAZDC/8g84rSQaAuGABkAAPZbAxLHJXE4AAAAAElFTkSuQmCC",cross
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAAAAAA6mKC9AAAAQElEQVR4nGNgQAOMEOo/nAkmQVwYhwmJD2YwIfHBTJAKFMCErACkBIsKwgJQp8Fcgk0LkhJGiBlwERADw3MYAAB7LQka19OKCgAAAABJRU5ErkJggg==",circle
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAAAAAA6mKC9AAAAGUlEQVR4nGNgIAQYGRj+o3CZ0FUMHQHCAAD4ogEYaXlHZAAAAABJRU5ErkJggg==",square
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAAAAAA6mKC9AAAAOUlEQVR4nI3KWQoAMAgDUfH+d25xj4FC/ZLJE/m9U49yydBgRLUIA0Bk9QAARXQLCJbwRQlsQdvjLma6DAsrkIhWAAAAAElFTkSuQmCC",triangle
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAAAAAA6mKC9AAAAIklEQVR4nGNgQAOMEOo/nMmEroIMAUaweUh8ssyggcMwAAAN1wMa5o+tvgAAAABJRU5ErkJggg==",cross
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAAAAAA6mKC9AAAAN0lEQVR4nGNgIBkwQqj/cCYTnA8hIAIQJoQCCUD5EAZECxIgTgBqNYQBVgEVAVMQLWAmXCGpAAAOYAcUmyKSoAAAAABJRU5ErkJggg==",circle
