image,label
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAAAAAA6mKC9AAAAQElEQVR4nGNgQAOMEOo/nAkmQVwYhwmJD2YwIfHBTJAKFMCErACkBIsKwgJQp8Fcgk0LkhJGiBlwERADw3MYAAB7LQka19OKCgAAAABJRU5ErkJggg==",circle
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAAAAAA6mKC9AAAAGklEQVR4nGNgIBkwMjAw/EfmMaGrGCwCZAAA5HMBFF1cgh4AAAAASUVORK5CYII=",square
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAAAAAA6mKC9AAAANklEQVR4nGNgIAQYIdR/OBNMgrgwDhMSH8wACaAAJiQFYCY2FYQFoE6B2otVC1wJiIHhdMIAAMAyBxZDfe59AAAAAElFTkSuQmCC",circle
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAAAAAA6mKC9AAAAGUlEQVR4nGNgIAQYGRj+o3CZ0FUMHQHCAAD4ogEYaXlHZAAAAABJRU5ErkJggg==",square
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAAAAAA6mKC9AAAAQElEQVR4nGNgQAOMEOo/nAkmQVwYhwmJD2YwIfHBTJAKFMCErACkBIsKwgJQp8Fcgk0LkhJGiBlwERADw3MYAAB7LQka19OKCgAAAABJRU5ErkJggg==",circle
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAAAAAA6mKC9AAAAGklEQVR4nGNgIBkwMjAw/EfmMaGrGCwCZAAA5HMBFF1cgh4AAAAASUVORK5CYII=",square
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAAAAAA6mKC9AAAAQElEQVR4nGNgQAOMEOo/nAkmQVwYhwmJD2YwIfHBTJAKFMCErACkBIsKwgJQp8Fcgk0LkhJGiBlwERADw3MYAAB7LQka19OKCgAAAABJRU5ErkJggg==",circle
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAAAAAA6mKC9AAAAGklEQVR4nGNgIBkwMjAw/EfmMaGrGCwCZAAA5HMBFF1cgh4AAAAASUVORK5CYII=",square
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAAAAAA6mKC9AAAAQElEQVR4nGNgQAOMEOo/nAkmQVwYhwmJD2YwIfHBTJAKFMCErACkBIsKwgJQp8Fcgk0LkhJGiBlwERADw3MYAAB7LQka19OKCgAAAABJRU5ErkJggg==",circle
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAAAAAA6mKC9AAAAGUlEQVR4nGNgIAQYGRj+o3CZ0FUMHQHCAAD4ogEYaXlHZAAAAABJRU5ErkJggg==",square
